communal_territory_id,progressive_id,alphanumeric_id,name,italian_name,other_name,is_province,numeric_id,numeric_2010_2016_id,numeric_2006_2009_id,numeric_1995_2005_id,cadastral_code
280,59,80059,Placanica,Placanica,,0,80059,80059,80059,80059,G729
280,60,80060,Platì,Platì,,0,80060,80060,80060,80060,G735
280,61,80061,Polistena,Polistena,,0,80061,80061,80061,80061,G791
280,62,80062,Portigliola,Portigliola,,0,80062,80062,80062,80062,G905
280,63,80063,Reggio di Calabria,Reggio di Calabria,,1,80063,80063,80063,80063,H224
280,64,80064,Riace,Riace,,0,80064,80064,80064,80064,H265
280,65,80065,Rizziconi,Rizziconi,,0,80065,80065,80065,80065,H359
280,66,80066,Roccaforte del Greco,Roccaforte del Greco,,0,80066,80066,80066,80066,H408
280,67,80067,Roccella Ionica,Roccella Ionica,,0,80067,80067,80067,80067,H456
280,68,80068,Roghudi,Roghudi,,0,80068,80068,80068,80068,H489
280,69,80069,Rosarno,Rosarno,,0,80069,80069,80069,80069,H558
280,70,80070,Samo,Samo,,0,80070,80070,80070,80070,H013
280,71,80071,San Giorgio Morgeto,San Giorgio Morgeto,,0,80071,80071,80071,80071,H889
280,72,80072,San Giovanni di Gerace,San Giovanni di Gerace,,0,80072,80072,80072,80072,H903
280,73,80073,San Lorenzo,San Lorenzo,,0,80073,80073,80073,80073,H959
280,74,80074,San Luca,San Luca,,0,80074,80074,80074,80074,H970
280,75,80075,San Pietro di Caridà,San Pietro di Caridà,,0,80075,80075,80075,80075,I102
280,76,80076,San Procopio,San Procopio,,0,80076,80076,80076,80076,I132
280,77,80077,San Roberto,San Roberto,,0,80077,80077,80077,80077,I139
280,78,80078,Santa Cristina d'Aspromonte,Santa Cristina d'Aspromonte,,0,80078,80078,80078,80078,I176
280,79,80079,Sant'Agata del Bianco,Sant'Agata del Bianco,,0,80079,80079,80079,80079,I198
280,80,80080,Sant'Alessio in Aspromonte,Sant'Alessio in Aspromonte,,0,80080,80080,80080,80080,I214
280,81,80081,Sant'Eufemia d'Aspromonte,Sant'Eufemia d'Aspromonte,,0,80081,80081,80081,80081,I333
280,82,80082,Sant'Ilario dello Ionio,Sant'Ilario dello Ionio,,0,80082,80082,80082,80082,I341
280,83,80083,Santo Stefano in Aspromonte,Santo Stefano in Aspromonte,,0,80083,80083,80083,80083,I371
280,84,80084,Scido,Scido,,0,80084,80084,80084,80084,I536
280,85,80085,Scilla,Scilla,,0,80085,80085,80085,80085,I537
280,86,80086,Seminara,Seminara,,0,80086,80086,80086,80086,I600
280,87,80087,Serrata,Serrata,,0,80087,80087,80087,80087,I656
280,88,80088,Siderno,Siderno,,0,80088,80088,80088,80088,I725
280,89,80089,Sinopoli,Sinopoli,,0,80089,80089,80089,80089,I753
280,90,80090,Staiti,Staiti,,0,80090,80090,80090,80090,I936
280,91,80091,Stignano,Stignano,,0,80091,80091,80091,80091,I955
280,92,80092,Stilo,Stilo,,0,80092,80092,80092,80092,I956
280,93,80093,Taurianova,Taurianova,,0,80093,80093,80093,80093,L063
280,94,80094,Terranova Sappo Minulio,Terranova Sappo Minulio,,0,80094,80094,80094,80094,L127
280,95,80095,Varapodio,Varapodio,,0,80095,80095,80095,80095,L673
280,96,80096,Villa San Giovanni,Villa San Giovanni,,0,80096,80096,80096,80096,M018
280,97,80097,San Ferdinando,San Ferdinando,,0,80097,80097,80097,80097,M277
