id,name
0,tutte
1,Berlina 2V
10,Cabinato
11,non definita
12,Pulmino
2,Berlina 3V
3,Station Wagon
4,Multispazio
5,Coupé
6,Cabrio
7,Fuoristrada/SUV
8,Torpedo
9,Furgone
