id,state_code,name
209,Z606,GUAYANA BRITANNICA
210,Z607,GUAYANA FRANCESE
211,Z608,GUAYANA OLANDESE
212,Z609,MALVINE O FALKLAND
213,Z610,PARAGUAY
214,Z611,PERU'
215,Z612,TRINIDAD O TOBAGO
216,Z613,URUGUAY
217,Z614,VENEZUELA
218,Z700,AUSTRALIA
219,Z701,CAROLINE (ISOLE)
220,Z702,CHRISTMAS (ISOLE)
221,Z703,COOK
222,Z704,FIGI O VITI (ISOLE)
223,Z705,GILBERT E ELLICE (ISOLE)
224,Z706,GUAM (ISOLE)
225,Z707,IRIAN OCCIDENTALE
226,Z708,MACQUARIE (ISOLE)
227,Z709,MARCUS (ISOLE)
228,Z710,MARIANNE (ISOLE)
229,Z711,MARSHALL (ISOLE)
230,Z712,MIDWAY (ISOLE)
231,Z713,NAURU (ISOLE)
232,Z714,NIUE O SAVAGE (ISOLE)
233,Z715,NORFOLK (ISOLE)
234,Z716,NUOVA CALEDONIA (ISOLE)
235,Z717,NUOVE EBRIDI(ISOLE)
236,Z718,NUOVA GUINEA
237,Z719,NUOVA ZELANDA
238,Z720,PAPUASIA
239,Z721,PASQUA (ISOLA)
240,Z722,PITCAIRN E DIPENDENZE
241,Z723,POLINESIA (ISOLE)
242,Z724,SALOMONE (ISOLE)
243,Z725,SAMOA AMERICANE (ISOLE)
244,Z726,SAMOA OCCIDENTALI (ISOLE)
245,Z727,TOKELAU O DELL'UNIONE (ISOLE)
246,Z728,TONGA O DEGLI AMICI(ISOLE)
247,Z729,WALLIS E FUTUNA (ISOLE)
248,Z800,DIPENDENZE CANADESI
249,Z801,DIP. NORVEGESI ARTICHE
250,Z802,DIPENDENZE SOVIETICHE
251,Z900,DIPENDENZE AUSTRALIANE
252,Z901,DIPENDENZE BRITANNICHE
253,Z902,DIPENDENZE FRANCESI
254,Z903,DIPENDENZE NEOZELANDESI
255,Z904,DIP. NORVEGESI ANTARTICHE
256,Z905,DIPENDENZE STATUNITENSI
257,Z906,DIPENDENZE SUDAFRICANE
