id,name
A,Autoveicoli
AF,Autoveicoli e Fuoristrada/SUV
AV,Autoveicoli e VCL
F,Fuoristrada/SUV
FV,Fuoristrada/SUV e VCL
M,Micro Vetture
V,Veicoli Commerciali Leggeri
